# Пример файла с координатами для тестирования
# Топографическая съемка участка
# Система координат: МСК-50
# Дата: 2024-01-15
X Y Z
1000.000 2000.000 150.250
1005.000 2000.000 150.280
1010.000 2000.000 150.310
1015.000 2000.000 150.340
1020.000 2000.000 150.370
1000.000 2005.000 150.290
1005.000 2005.000 150.320
1010.000 2005.000 150.350
1015.000 2005.000 150.380
1020.000 2005.000 150.410
1000.000 2010.000 150.330
1005.000 2010.000 150.360
1010.000 2010.000 150.390
1015.000 2010.000 150.420
1020.000 2010.000 150.450
1000.000 2015.000 150.370
1005.000 2015.000 150.400
1010.000 2015.000 150.430
1015.000 2015.000 150.460
1020.000 2015.000 150.490
1000.000 2020.000 150.410
1005.000 2020.000 150.440
1010.000 2020.000 150.470
1015.000 2020.000 150.500
1020.000 2020.000 150.530
